time,theta
29.392,0.000534226097695384
29.412,0.000507265532857381
29.432,0.000487623191208047
29.452,0.000470090389357154
29.472,0.000455036067862876
29.492,0.000441099512688124
29.512,0.000430689103315317
29.532,0.000424412256913754
29.552,0.000419840637145332
29.576,0.000415999313829046
29.592,0.000410438331354081
29.612,0.000405546565995853
29.636,0.000398711668241483
29.656,0.00038981163097784
29.672,0.000379908911551602
29.692,0.000364173095024806
29.712,0.000341111536604992
29.732,0.000305035989878164
29.752,0.000264368774454041
29.776,0.000216797365405356
29.792,0.000164316394167105
29.812,0.000113522363040109
29.836,5.63178855448502e-05
29.852,-9.57399077685411e-06
29.872,-8.86438520888541e-05
29.892,-0.000173763503811436
29.916,-0.000278077181846524
29.932,-0.000377275383187322
29.952,-0.000469513092240391
29.972,-0.000558827815646221
29.992,-0.00065069048674294
30.012,-0.000748644756343239
30.032,-0.000859831339272722
30.052,-0.000980752687745903
30.072,-0.00108428623845042
30.092,-0.00118708815647128
30.112,-0.00128847224098039
30.132,-0.00140751953298357
30.152,-0.00153034852570882
30.172,-0.00165508582988972
30.192,-0.00176546508193692
30.212,-0.00185196676494471
30.232,-0.00193327800143121
30.252,-0.00201692928930048
30.272,-0.00211467742026516
30.292,-0.00221206039605251
30.312,-0.00232213766330792
30.332,-0.0024203075707231
30.352,-0.00250354973864055
30.372,-0.00257901886884323
30.392,-0.00264868971752779
30.412,-0.00271923731459322
30.432,-0.00278358753378839
30.452,-0.00284486627134496
30.472,-0.00289310533225876
30.492,-0.00293554837477807
30.512,-0.0029698270403349
30.532,-0.0029968992150779
30.552,-0.00300961853544519
30.576,-0.00300364675874106
30.596,-0.00299045186775427
30.616,-0.00296493071259963
30.632,-0.00292855233410617
30.652,-0.00287533469570818
30.672,-0.00280873193516728
30.692,-0.00273887396158954
30.712,-0.00266305467435051
30.732,-0.00258460922857651
30.756,-0.00248329331257784
30.772,-0.00237523009017809
30.796,-0.00225837449529048
30.812,-0.0021444868844262
30.832,-0.00202155249694773
30.852,-0.00188313206469629
30.872,-0.00174581805551003
30.892,-0.00159603747286512
30.912,-0.00146374775993019
30.932,-0.00133260493924539
30.952,-0.00119580430889088
30.972,-0.0010602045668536
30.992,-0.000922595788666464
31.012,-0.000785784147305144
31.032,-0.00064876422194259
31.052,-0.000526383375640181
31.072,-0.000395208215948727
31.092,-0.00027106592026138
31.112,-0.000158674184808624
31.132,-4.08628750312099e-05
31.152,6.59536158937731e-05
31.172,0.000184464903550543
31.192,0.000304818183676456
31.212,0.000411508117998851
31.232,0.000493840460015885
31.252,0.000557171530696272
31.272,0.00061759857992988
31.292,0.000677117572964496
31.316,0.000737315190097096
31.336,0.000777924166390909
31.352,0.000796379071083752
31.372,0.000798793880500934
31.392,0.000788026079061058
31.412,0.000760120690711802
31.432,0.000722666153907045
31.452,0.000673921853037298
31.472,0.000608987903593812
